Year,Abkhazia,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Rep.,Chad,Channel Islands,Chile,China,Christmas Island,Cocos Island,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Rep.,Czechoslovakia,Denmark,Djibouti,Dominica,Dominican Rep.,East Germany,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Eritrea and Ethiopia,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.","Korea, United",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Nagorno-Karabakh,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Northern Cyprus,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthelemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Vincent and the Grenadines,Saint-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Serbia excluding Kosovo,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,Somaliland,South Africa,South Ossetia,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Transnistria,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,USSR,Uzbekistan,Wallis et Futuna,Vanuatu,Venezuela,West Bank and Gaza,West Germany,Western Sahara,Vietnam,Virgin Islands (U.S.),Yemen Arab Republic (Former),Yemen Democratic (Former),"Yemen, Rep.",Yugoslavia,Zambia,Zimbabwe
1800,,472.0534996,,601.2152224,766.2536644,674.4537263,1260.123256,359.9325819,775.6687106,538.376199,871.6252695,378.4032544,575.8550543,671.4782089,1434.507479,477.1528146,1409.188697,808.9917926,608.7942969,1017.813988,510.549704,1554.003533,542.9680974,553.7183009,1667.687728,539.5629811,695.052146,490.8246925,407.3593419,509.2035615,527.4307462,1011.68059,836.313456,454.3319222,447.5914113,809.2345707,517.4604708,1159.502927,340,954.072514,345.8381243,400.6886094,,702.100651,985.8893303,,,522.9751617,800.6066018,394.0276101,387.3762863,404.6722358,670.1203273,549.1860721,1227.061731,1123.879484,572.7832983,1622.740983,,1342.840228,380.7345805,688.1207822,426.2991145,,1085.125019,748.7862326,804.3069882,379.1324358,583.9505885,,771.1823968,619.2128761,,,472.1176084,1037.687706,1388.320685,819.2690744,809.3444716,377.5397953,440.8610476,422.0337622,1695.67505,505.1443463,,934.4137236,400.9483088,775.6687106,760.9767423,,682.7452878,916.4532772,375.9566028,345,910.6856442,503.8080444,,583.8040582,790.1538069,1390.669962,801.8966176,562.8845357,514.1154361,750,700,1213.164837,,882.536501,1339.84109,1350.395679,1055.060121,,528.6885345,672.0210964,512.928242,505.8402948,698.182626,596.007469,,,661.9023758,379.8734605,748.5419779,534.0483515,932,364,544.6538434,570,1374.679916,1068.996325,1145.566597,607.0083537,800.7597673,434.1407709,360,750.1260077,472.1176084,427.4305212,515.5049684,539.5629811,944.0485757,374.3828021,799.6110593,,1053.600065,553.0520556,467.260903,1260.123256,606.925928,1112.357541,620.5349685,497.2462547,358,569.0749765,,350,573.2856674,419.1763285,2412.432677,698.1018395,944.2352169,541.6202104,726.9695229,371.2631538,576.3794447,,,,741.899099,950,882.536501,665.7235186,876.7898442,686.6575255,573.2856674,564.1589306,697.3002156,626.965186,,1198.388134,1284.40935,775.1038049,588.3576674,692.3308827,1093.916275,991.6304972,368.9970394,,813.2077456,775.6687106,930.8024527,,620.5349685,,1308.440229,1031.009937,674.6997389,441.2682505,420.7302392,1308.865847,,,629.3774513,508.3960133,861.8206728,1197.598799,1357.948316,387.8108926,498.8337845,,759.0465683,,487.2607279,1443.016352,453.5954432,484.739327,1004.129429,,414.0398657,1223.853784,1612.47616,850,871.2733135,490.8195517,470.6448695,496.9825317,514.1154361,535.5893858,,667.7091891,,774.2106984,518.7242549,869.9170642,633.5351809,853.2355816,1011.68059,461.0826407,615.6777054,845.7641468,2716.870226,1912.622748,784.4627425,,350,580.0302046,829.5780834,442.0212955,735.4470842,,,459.7089858,,,,661.9023758,,364.4648106,372.8183375
1801,,,,,,,,,,,,,,,1440.072847,,,,608.6359427,,,1554.611911,,,,,,,,,,,,,,,,,,,,,,,979.3513605,,,,,,,,,,,,,,,1345.124952,,,,,,,,,,,,,,,,1039.444899,1394.080264,,,,,,1707.378705,,,935.8956149,,,,,,,,,,,,,,,,562.7381231,,750,700,1215.232212,,,1322.440557,,1056.469106,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2410.185319,,,,,,,,,,,951.3750307,,665.5503565,,,,,,,,1202.832251,1285.689067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.310806,,,,,,1213.627475,1615.203974,850,871.2733135,,,,,,,,,,,871.455697,,,,,,,2736.975065,1948.592928,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,1445.659806,,,,608.4776297,,,1555.220526,,,,,,,,,,,,,,,,,,,,,,,972.8567476,,,,,,,,,,,,,,,1347.413564,,,,,,,,,,,,,,,,1041.205067,1399.863737,,,,,,1719.16314,,,937.3798564,,,,,,,,,,,,,,,,562.5917487,,750,700,1217.303109,,,1365.941891,,1057.879973,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2407.940055,,,,,,,,,,,952.7520516,,665.3772394,,,,,,,,1207.292848,1286.970059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.612781,,,,,,1269.747655,1617.936403,850,871.2733135,,,,,,,,,,,872.9970513,,,,,,,2740.533133,1981.625636,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,1451.268441,,,,608.3193579,,,1555.829381,,,,,,,,,,,,,,,,,,,,,,,966.4052039,,,,,,,,,,,,,,,1349.70607,,,,,,,,,,,,,,,,1042.968216,1405.671203,,,,,,1731.028912,,,938.8664518,,,,,,,,,,,,,,,,562.4454123,,750,700,1219.377536,,,1405.093091,,1059.292724,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2405.696882,,,,,,,,,,,954.1310656,,665.2041674,,,,,,,,1211.769988,1288.252328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.922294,,,,,,1257.207734,1620.673454,850,871.2733135,,,,,,,,,,,874.5411317,,,,,,,2744.095826,1946.611871,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,1456.898835,,,,608.1611273,,,1556.438473,,,,,,,,,,,,,,,,,,,,,,,959.996444,,,,,,,,,,,,,,,1352.002476,,,,,,,,,,,,,,,,1044.73435,1411.502762,,,,,,1742.976582,,,940.3554047,,,,,,,,,,,,,,,,562.299114,,750,700,1221.455497,,,1465.994959,,1060.707362,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2403.455799,,,,,,,,,,,955.5120756,,665.0311404,,,,,,,,1216.26373,1289.535874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.239363,,,,,,1175.282908,1623.415136,850,871.2733135,,,,,,,,,,,876.0879431,,,,,,,2747.663151,1944.215089,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,1462.551074,,,,608.0029378,,,1557.047804,,,,,,,,,,,,,,,,,,,,,,,953.630184,,,,,,,,,,,,,,,1354.302789,,,,,,,,,,,,,,,,1046.503475,1417.358513,,,,,,1755.006716,,,941.846719,,,,,,,,,,,,,,,,562.1528537,,750,700,1223.537,,,1418.143492,,1062.123889,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2401.216804,,,,,,,,,,,956.8950845,,664.8581584,,,,,,,,1220.774137,1290.820699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.564006,,,,,,1250.540535,1626.161455,850,871.2733135,,,,,,,,,,,877.6374905,,,,,,,2751.235113,1987.877056,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,1468.22524,,,,607.8447895,,,1557.657373,,,,,,,,,,,,,,,,,,,,,,,947.3061422,,,,,,,,,,,,,,,1356.607016,,,,,,,,,,,,,,,,1048.275596,1423.238558,,,,,,1767.119883,,,943.3403984,,,,,,,,,,,,,,,,562.0066315,,750,700,1225.62205,,,1452.944559,,1063.542308,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2398.979895,,,,,,,,,,,958.2800951,,664.6852214,,,,,,,,1225.301271,1292.106804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.896238,,,,,,1264.358144,1628.912421,850,871.2733135,,,,,,,,,,,879.1897785,,,,,,,2754.811718,2024.490103,,,,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,1473.921421,,,,607.6866823,,,1558.267182,,,,,,,,,,,,,,,,,,,,,,,941.0240385,,,,,,,,,,,,,,,1358.915164,,,,,,,,,,,,,,,,1050.050718,1429.142997,,,,,,1779.316655,,,944.8364466,,,,,,,,,,,,,,,,561.8604474,,750,700,1227.710653,,,1426.843758,,1064.962621,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2396.745069,,,,,,,,,,,959.6671104,,664.5123294,,,,,,,,1229.845193,1293.394191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.236078,,,,,,1211.86227,1631.66804,850,871.2733135,,,,,,,,,,,880.7448121,,,,,,,2758.392974,2045.445323,,,,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,,1479.6397,,,,607.5286162,,,1558.877228,,,,,,,,,,,,,,,,,,,,,,,934.7835949,,,,,,,,,,,,,,,1361.227238,,,,,,,,,,,,,,,,1051.828846,1435.071931,,,,,,1791.59761,,,946.3348674,,,,,,,,,,,,,,,,561.7143012,,750,700,1229.802815,,,1509.496293,,1066.384831,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2140.32158,,,,,,,,,,,961.0561333,,664.3394823,,,,,,,,1234.405966,1294.68286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.583543,,,,,,1147.124408,1634.428321,850,871.2733135,,,,,,,,,,,882.302596,,,,,,,2761.978884,1896.704351,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,1485.380165,,,,607.3705912,,,1559.487514,,,,,,,,,,,,,,,,,,,,,,,928.5845351,,,,,,,,,,,,,,,1363.543247,,,,,,,,,,,,,,,,1053.609984,1441.025461,,,,,,1803.963329,,,947.8356646,,,,,,,,,,,,,,,,561.5681931,,750,700,1231.898543,,,1513.846427,,1067.80894,,,,,,698.182626,596.007469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0749765,,,,,2115.414196,,,,,,,,,,,962.4471667,,664.1666802,,,,,,,,1238.983652,1295.972813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.938651,,,,,,1094.752473,1637.193272,850,871.2733135,,,,,,,,,,,883.8631353,,,,,,,2765.569457,1993.22198,,,,,,,,,,,,,,,,,
